,movie_id,title,tags
0,19995,Avatar,"in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. action adventur fantasi scienc fiction cultur clash futur space war space coloni societi space travel futurist romanc space alien tribe alien planet cgi marin soldier battl love affair anti war power relat mind and soul 3d sam worthington zoe saldana sigourney weaver jame cameron"
1,285,Pirates of the Caribbean: At World's End,"captain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems. adventur fantasi action ocean drug abus exot island east india trade compani love of one' life traitor shipwreck strong woman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnni depp orlando bloom keira knightley gore verbinski"
2,206647,Spectre,"a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre. action adventur crime spi base on novel secret agent sequel mi6 british secret servic unit kingdom daniel craig christoph waltz léa seydoux sam mend"
3,49026,The Dark Knight Rises,"follow the death of district attorney harvey dent, batman assum respons for dent' crime to protect the late attorney' reput and is subsequ hunt by the gotham citi polic department. eight year later, batman encount the mysteri selina kyle and the villain bane, a new terrorist leader who overwhelm gotham' finest. the dark knight resurfac to protect a citi that ha brand him an enemy. action crime drama thriller dc comic crime fighter terrorist secret ident burglar hostag drama time bomb gotham citi vigilant cover-up superhero villai tragic hero terror destruct catwoman cat burglar imax flood crimin underworld batman christian bale michael cain gari oldman christoph nolan"
4,49529,John Carter,"john carter is a war-weary, former militari captain who' inexplic transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands. action adventur scienc fiction base on novel mar medallion space travel princess alien steampunk martian escap edgar rice burrough alien race superhuman strength mar civil sword and planet 19th centuri 3d taylor kitsch lynn collin samantha morton andrew stanton"
5,559,Spider-Man 3,"the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle. fantasi action adventur dual ident amnesia sandstorm love of one' life forgiv spider wretch death of a friend egomania sand narcism hostil marvel comic sequel superhero reveng tobey maguir kirsten dunst jame franco sam raimi"
6,38757,Tangled,"when the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs. anim famili hostag magic hors fairi tale music princess anim tower blond woman selfish heal power base on fairi tale duringcreditssting heal gift anim sidekick zachari levi mandi moor donna murphi byron howard"
7,99861,Avengers: Age of Ultron,"when toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure. action adventur scienc fiction marvel comic sequel superhero base on comic book vision superhero team duringcreditssting marvel cinemat univers 3d robert downey jr. chri hemsworth mark ruffalo joss whedon"
8,767,Harry Potter and the Half-Blood Prince,"as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past. adventur fantasi famili witch magic broom school of witchcraft wizardri apparit teenag crush werewolf daniel radcliff rupert grint emma watson david yate"
9,209112,Batman v Superman: Dawn of Justice,"fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before. action adventur fantasi dc comic vigilant superhero base on comic book reveng super power clark kent bruce wayn dc extend univers ben affleck henri cavil gal gadot zack snyder"
